ID	TP/FP	alt support	ref support
HG2_Ill_svaba_2	TP	40	-1
HG3_Ill_GATKHC_3	TP	14	-1
HG4_Ill_GATKHC_3	TP	148	0
HG2_Ill_250bpfermikitraw_2	TP	38	30
HG2_PB_SVrefine2PB10Xhap12_3	TP	1	41
HG2_Ill_breakscan11_2919	TP	393	42
HG4_Ill_150bpfermikitraw_1	FP	42	53
HG3_PB_SVrefine2PBcRDovetail_5	TP	26	7
HG2_Ill_GATKHC_9	TP	17	-1
HG2_PB_SVrefine2PB10Xhap12_10	TP	20	10
HG2_PB_SVrefine2PBcRplusDovetail_7	TP	3	19
HG3_Ill_scalpel_4	TP	57	0
HG2_Ill_FB_3	TP	29	22
HG4_Ill_GATKHCSBGrefine_3	FP	2	21
HG2_Ill_svaba_7	TP	36	21
HG3_Ill_Cortex_1	FP	1	1
HG2_PB_SVrefine2PBcRplusDovetail_8	TP	10	23
HG2_PB_SVrefine2Falcon1plusDovetail_15	TP	21	30
HG4_Ill_Krunchall_6	TP	27	1
HG2_Ill_SpiralSDKrefine_9	TP	42	1
HG4_PB_HySA_9	FP	4	-1
HG4_Ill_GATKHCSBGrefine_7	FP	1	11
HG2_PB_SVrefine2PBcRplusDovetail_11	TP	9	-1
HG2_PB_SVrefine2Falcon2Bionano_7	TP	2	12
HG2_Ill_FB_6	TP	63	50
HG2_Ill_GATKHC_18	TP	58	4
HG3_PB_HySA_15	TP	14	1
HG2_PB_SVrefine2PB10Xhap12_17	TP	62	-1
HG2_PB_PB10Xdip_2767	TP	22	72
HG4_Ill_GATKHC_22	TP	40	-1
HG2_Ill_svaba_14	TP	20	47
HG2_CG_vcfBeta_4	TP	48	1
HG2_Ill_250bpfermikitraw_18	TP	5	0
HG2_PB_assemblyticsPBcR_18	TP	1	1
HG4_Ill_GATKHC_24	TP	56	0
HG3_Ill_GATKHC_25	TP	32	3
HG4_Ill_250bpfermikitraw_14	TP	15	23
HG3_Ill_250bpfermikitraw_18	TP	25	-1
HG2_Ill_svaba_20	TP	9	19
HG2_PB_SVrefine2Falcon1plusDovetail_21	TP	3	21
HG2_PB_SVrefine2PBcRplusDovetail_15	TP	2	32
HG2_PB_HySA_37	TP	5	-1
HG3_PB_assemblyticsfalcon_28	FP	1	28
HG4_Ill_svaba_17	TP	9	6
HG4_Ill_svaba_19	FP	5	56
HG4_Ill_GATKHC_31	FP	2	30
HG4_Ill_Cortex_3	FP	1	32
HG4_10X_allpass_2	FP	2	41
HG2_PB_SVrefine2Falcon2Bionano_14	TP	1	-1
HG4_PB_HySA_26	FP	5	-1
HG2_Ill_GATKHCSBGrefine_6	TP	2	-1
HG4_Ill_svaba_26	TP	2	-1
HG4_Ill_250bpfermikitraw_22	TP	20	30
HG2_Ill_SpiralSDKrefine_18	TP	16	0
HG4_Ill_GATKHCSBGrefine_13	TP	19	17
HG2_PB_SVrefine2Falcon2Bionano_16	TP	17	-1
HG2_PB_SVrefine2PB10Xhap12_28	TP	1	-1
HG4_PB_pbsv_30	TP	3	11
HG3_Ill_Spiral_16	TP	42	-1
HG2_PB_SVrefine2Falcon2Bionano_19	TP	22	-1
HG4_Ill_scalpel_13	FP	1	55
HG4_PB_SVrefine2PBcRDovetail_13	TP	9	39
